评论,fenci,情感分类,主题概率,主题类型
方便，速度也还可以，一般的办公可以了。,速度 办公,pos,"[(0, 0.05575716), (1, 0.05570801), (2, 0.055911567), (3, 0.055623926), (4, 0.05561535), (5, 0.721384)]",5
外观不错 很漂亮  内存3 很好  配置很全  价格便宜  自己配了根三星3 1066的,外观 不错 很漂亮 内存 配置 价格便宜 三星,pos,"[(0, 0.02107155), (1, 0.021038668), (2, 0.3816091), (3, 0.53408384), (4, 0.021029208), (5, 0.021167623)]",3
样?不错..朋友陪我去自提货的.一看到机?朋友说颜色漂亮.但我自己是觉得外壳有点土土的.但是里面有点渐变的感觉很不错.键盘手感很好呢!,不错 朋友 提货 朋友 颜色 漂亮 外壳 土土 渐变 感觉 不错 键盘 手感,pos,"[(0, 0.0119776735), (1, 0.011952594), (2, 0.2421402), (3, 0.70984733), (4, 0.0120446365), (5, 0.01203754)]",3
太喜欢了，外观漂亮，红棕相配的每一处细节都很完美！性能完全能满足我的游戏需求。,喜欢 外观 漂亮 相配 每一处 细节 完美 性能 游戏 需求,pos,"[(0, 0.015495252), (1, 0.015729954), (2, 0.9227812), (3, 0.0153986), (4, 0.015306219), (5, 0.015288762)]",2
这样的价位来说，功能配置相当到位。机器外观也让人满意，系统安装起来也很方便。,价位 功能 配置 到位 机器 外观 满意 系统 安装,pos,"[(0, 0.016874615), (1, 0.65114075), (2, 0.28158364), (3, 0.016784241), (4, 0.016775642), (5, 0.01684116)]",1
1.外观不错，颜色我很喜欢；,外观 不错 颜色 喜欢,pos,"[(0, 0.033456035), (1, 0.033495914), (2, 0.8322796), (3, 0.033578224), (4, 0.033720315), (5, 0.03346982)]",2
1，外壳晶莹剔透，注重外形的人可以选择；,外壳 晶莹剔透 注重 外形 选择,pos,"[(0, 0.028224979), (1, 0.028139139), (2, 0.027976997), (3, 0.028107954), (4, 0.85946625), (5, 0.0280847)]",4
钢琴烤漆，流线机身，简洁大方，噪音控制的挺好，速度很快，屏幕一级棒，显示效果没的说；键盘触感很不错，用起来很舒服。性价比高，双核独显无线高清一个也没落下，属于全能主流性本本，真的很超值。,钢琴 烤漆 流线 机身 简洁 大方 噪音控制 挺好 速度 很快 屏幕 一级 显示 效果 没的说 键盘 触感 不错 舒服 性价比 双核 独显 无线 高清 落下 全能 主流 本本 真的 超值,pos,"[(2, 0.97284436)]",2
送货相当快，早晨7点多订单，中午12点送到。,送货 早晨 订单 中午 送到,pos,"[(0, 0.028024916), (1, 0.5315429), (2, 0.028144896), (3, 0.027896017), (4, 0.35638568), (5, 0.028005553)]",1
1.已经是第二次在京东买本在一个月内，配送速度还是非常快的，24小时之内提货，满意。 2.机器包装完好无破损，机器表面无划痕。 3.系统安装非常顺利，一小时安装完毕，没碰到问题。 4.机器散热很好，运转很安静。,第二次 京东 买本 一个月 配送 速度 小时 之内 提货 满意 机器 包装 完好 破损 机器 表面 划痕 系统 安装 顺利 小时 安装 完毕 碰到问题 机器 散热 运转 安静,pos,"[(4, 0.79339004), (5, 0.18337451)]",4
1.独立显卡就是爽；,独立 显卡,pos,"[(0, 0.055756237), (1, 0.05563995), (2, 0.05568511), (3, 0.721392), (4, 0.055783235), (5, 0.05574345)]",3
完美屏！外观漂亮！手感很好！奔腾双核感觉速度也不逊色，再加上独显，超值了！！！,完美 外观 漂亮 手感 奔腾 双核 感觉 速度 逊色 独显 超值,pos,"[(0, 0.013982506), (1, 0.013953615), (2, 0.014046565), (3, 0.11778145), (4, 0.013950203), (5, 0.8262856)]",5
： 配置不错，奔腾双核感觉也不差~价格合适 不足： 装系统比较麻烦~ 总结： 不错，对得起这个价钱,配置 不错 奔腾 双核 感觉 价格 合适 系统 麻烦 不错 对得起 价钱,pos,"[(0, 0.012903426), (1, 0.012927348), (2, 0.5715753), (3, 0.013041436), (4, 0.012933592), (5, 0.37661886)]",2
简单，大方，在同类尺寸的款型的笔记本中不显厚重，轻薄感！很安静，几乎没有声音，音质不错屏幕不错，显的细腻可观。感谢马连道提货点的工作人员（前台客服），服务态度超好，值得贵公司其他员工学习。,简单 大方 同类 尺寸 款型 笔记本 不显 厚重 轻薄 安静 声音 音质 不错 屏幕 不错 细腻 可观 感谢 马连道 提货 工作人员 前台 客服 服务态度 超好 值得 公司 员工 学习,pos,"[(0, 0.6661844), (2, 0.31130683)]",0
简单，大方，在同类尺寸的款型的笔记本中不显厚重，轻薄感！很安静，几乎没有声音，音质不错屏幕不错，显的细腻可观。,简单 大方 同类 尺寸 款型 笔记本 不显 厚重 轻薄 安静 声音 音质 不错 屏幕 不错 细腻 可观,pos,"[(2, 0.95331717)]",2
钢琴烤漆，流线机身，非常漂亮。几乎没有噪音，本人认为散热还不错。,钢琴 烤漆 流线 机身 漂亮 噪音 散热 不错,pos,"[(0, 0.018591398), (1, 0.018580154), (2, 0.9068877), (3, 0.018719476), (4, 0.01859052), (5, 0.018630674)]",2
帮朋友买的，和我的400放一起，区别不大，稍微厚点，远看几乎没什么区别，朋友很喜欢，这个价钱，性价比还是不错的,朋友 区别 稍微 厚点 没什么 区别 朋友 喜欢 价钱 性价比 不错,pos,"[(0, 0.013962807), (1, 0.013956804), (2, 0.44078252), (3, 0.013976597), (4, 0.5033172), (5, 0.0140041)]",4
性价比超高 结实 稳定 安静 嘿嘿 最关键的是我是5488块大洋入手的（6限时限量抢购） 没人比我低了吧 哈哈 超值 可惜现在没货了 本来想加个1三星内存的 奶奶的 从199块涨到269块咯 唉。。。后悔当时没出手,性价比 超高 结实 稳定 安静 关键 大洋 入手 限时 限量 抢购 没人 超值 可惜 没货 本来 想加 三星 内存 奶奶 涨到 后悔 出手,pos,"[(5, 0.9650643)]",5
噪音确实很小几乎听不见。光驱很棒，几年前的花碟都能读出来，赞一个。,噪音 确实 很小 听不见 光驱 很棒 几年 花碟 读出来,pos,"[(0, 0.016807746), (1, 0.01674605), (2, 0.36460847), (3, 0.016843945), (4, 0.56811357), (5, 0.016880186)]",4
大品牌 做工还行 买后加了个内存条不错  一键还原很好用(若不太了解大家可以拨打的售后:8009908888),品牌 做工 内存条 不错 一键 还原 很好 拨打 售后,pos,"[(0, 0.18626136), (1, 0.016916515), (2, 0.016966447), (3, 0.7461747), (4, 0.016876671), (5, 0.01680433)]",3
散热是相当不错的 ，外观比较满意，性价比很高，实用性很好，能满足日常需求。,散热 不错 外观 比较满意 性价比 实用性 日常 需求,pos,"[(0, 0.13584791), (1, 0.018732648), (2, 0.7894472), (3, 0.018767444), (4, 0.018599862), (5, 0.018604921)]",2
拿到后初步使用1的内存跑起来稍稍慢些，很安静，像关机一样，键盘手感超好。,拿到 初步 内存 稍稍 慢些 安静 关机 键盘 手感 超好,pos,"[(0, 0.015209766), (1, 0.015202971), (2, 0.015303267), (3, 0.015314846), (4, 0.015188412), (5, 0.92378074)]",5
键盘真的不错，原来都是听说，经过亲手感触了一下，果然不同反响喔~！,键盘 真的 不错 听说 感触 反响,pos,"[(0, 0.023927206), (1, 0.02389075), (2, 0.880249), (3, 0.023984784), (4, 0.024022793), (5, 0.023925442)]",2
手感很好，样子很经典。加了1内存，换了，跑起来很快。暂时没发现什么问题,手感 样子 经典 内存 很快 暂时 发现,pos,"[(0, 0.021135844), (1, 0.021117989), (2, 0.02101671), (3, 0.6485644), (4, 0.021087985), (5, 0.26707703)]",3
散热最好，跑了100%10分钟还是60度，历害，设计还是我最喜欢的铝合框架。,散热 分钟 历害 设计 喜欢 铝合 框架,pos,"[(0, 0.020910712), (1, 0.02093586), (2, 0.021098185), (3, 0.020911466), (4, 0.021194108), (5, 0.8949497)]",5
3700元内不是不错的本本，显存是64位宽的呢！跑游戏还是差了一点点。内存条是三星3。自己加装了一条单条的金士顿2的内存。跑起来还是不错没有冲突。很多人讲系统不好装，我想应该是你自己的系统盘问题和设置，设好光盘启动可以选进入再进行重格和安装20分钟内就完成机器的克隆了!,元内 不错 本本 显存 位宽 游戏 一点点 内存条 三星 加装 一条 单条 金士顿 内存 不错 冲突 系统 不好 系统盘 设置 光盘启动 重格 安装 分钟 机器 克隆,pos,"[(2, 0.8113967), (5, 0.16367397)]",2
这款绝对算是正宗系列里面性价比最高的了（除外）,算是 正宗 系列 性价比,pos,"[(0, 0.03340535), (1, 0.8321177), (2, 0.03369082), (3, 0.033537447), (4, 0.033774287), (5, 0.03347436)]",1
用起来不错，系统并没说的那么垃圾，很多软件都装，但要求软件版本较高,不错 系统 没说的 垃圾 软件 软件 版本,pos,"[(0, 0.021122111), (1, 0.020994147), (2, 0.021262057), (3, 0.021069087), (4, 0.021033997), (5, 0.8945186)]",5
配货很快；,配货 很快,pos,"[(0, 0.05660474), (1, 0.055930126), (2, 0.71948797), (3, 0.056035906), (4, 0.055829797), (5, 0.056111455)]",2
圆通快递送货很快，服务也不错，给个五分，给家里买的，家人都很满意,圆通 快递 送货 很快 服务 不错 五分 家里 家人 满意,pos,"[(0, 0.015314541), (1, 0.7641907), (2, 0.015389639), (3, 0.015208142), (4, 0.17462619), (5, 0.0152707705)]",1
散热好，做工好，耐用，经典，内存条直接使用3的，免得以后被淘汰！钢制铰链很结实！,散热 做工 耐用 经典 内存条 免得 淘汰 钢制 铰链 结实,pos,"[(0, 0.015332277), (1, 0.9234098), (2, 0.015347209), (3, 0.015299933), (4, 0.015236368), (5, 0.015374379)]",1
原装正品 价格低廉 订单下达很快 配送及时 青岛上门自提 让人比较放心,原装 正品 价格低廉 订单 下达 很快 配送 青岛 上门 放心,pos,"[(0, 0.015239194), (1, 0.01525322), (2, 0.9237629), (3, 0.015214111), (4, 0.015253439), (5, 0.015277084)]",2
选本的时候关注的太多.最后其它牌子全部淘汰了.只剩400跟华硕的80流苏系列.然后听公司同事说华硕是真的不行.想想还是算了.选400以后又看了水货的400.质量上来讲没什么太大的区别就是400厚了一点.也不喜欢水货而且正好5月12日买的时候赶上活动.便宜200.,选本 关注 牌子 淘汰 华硕 流苏 系列 公司 同事 华硕 真的 不行 想想 算了 水货 质量 没什么 区别 一点 喜欢 水货 正好 赶上 活动 便宜,pos,"[(1, 0.7399995), (2, 0.18089598), (5, 0.05967986)]",1
"外观可以，系统真难装, 系统根本不能装  版本的 装了一晚上也没装好 而且刚买就降100",外观 系统 真难 系统 版本 晚上 没装,pos,"[(0, 0.021101682), (1, 0.02104849), (2, 0.894576), (3, 0.021019923), (4, 0.021196086), (5, 0.021057786)]",2
完美屏  内存加到3个  自己装的   真的很难找的恢复盘   的启动项比较多 进程数有70个  系统太慢了,完美 内存 加到 真的 恢复 启动项 进程 系统 太慢,pos,"[(0, 0.016795505), (1, 0.016777122), (2, 0.46429968), (3, 0.016839437), (4, 0.016736858), (5, 0.4685514)]",5
磨砂的面子就是好，看着沉稳，摸上去也很有质感。键盘的手感比原来要好很多，布局也没大的改变，很适应。,磨砂 面子 看着 沉稳 摸上去 质感 键盘 手感 布局 改变,pos,"[(0, 0.015185557), (1, 0.015219127), (2, 0.015460306), (3, 0.9234822), (4, 0.015318122), (5, 0.015334701)]",3
磨砂外壳最实用，比的钢琴烤漆朴素多了，而且不会有脏脏的手印，总之外形是我非常满意的。独显刻录250硬盘也都是我满意的配置。,磨砂 外壳 实用 钢琴 烤漆 朴素 脏脏 手印 外形 满意 独显 刻录 硬盘 满意 配置,pos,"[(0, 0.010510875), (1, 0.010621421), (2, 0.010490301), (3, 0.9473389), (4, 0.0104474565), (5, 0.010591033)]",3
磨砂表面真的不错，一点儿都不留手指印；自带的系统恢复软件让人觉得很放心；的做工也不错；键盘灯蛮不错的，风扇真安静啊。,磨砂 表面 真的 不错 一点儿 不留 手指 自带 系统 恢复 软件 放心 做工 不错 键盘 不错 风扇 安静,pos,"[(2, 0.9557465)]",2
1内存慢了一点;,内存 一点,pos,"[(0, 0.055794142), (1, 0.05616339), (2, 0.05632195), (3, 0.71981), (4, 0.055820152), (5, 0.056090374)]",3
系列好歹拥有所有的技术，比好很多。,系列 好歹 拥有 技术 比好,pos,"[(0, 0.14613968), (1, 0.027869876), (2, 0.7421104), (3, 0.027848076), (4, 0.028032564), (5, 0.02799945)]",2
感觉很有质感，性价比相对来说还是不错的。物流的效率也比较高，第二天一大早就送到了,感觉 质感 性价比 相对来说 不错 物流 效率 第二天 一大早 送到,pos,"[(0, 0.015285969), (1, 0.015237753), (2, 0.77547747), (3, 0.015199051), (4, 0.015418482), (5, 0.16338125)]",2
外观漂亮，悬浮键盘很美观，速度还可以，屏色彩还不错。送个杀毒软件，送个散热垫，散热垫风力有些小，不过很实用。回家分区格式化，做了个集成驱动的安装盘（参考://../2/69856/_704523.），安装带驱动的系统一次通过，很是欣慰。,外观 漂亮 悬浮 键盘 美观 速度 色彩 不错 杀毒软件 散热 散热 风力 实用 回家 分区 格式化 集成 驱动 安装盘 参考 安装 驱动 系统 欣慰,pos,"[(5, 0.96638864)]",5
性价比超高，帮朋友买的，最重要是看重它7个多小时的续航能力，超值，超棒！,性价比 超高 朋友 看重 小时 续航 能力 超值 超棒,pos,"[(0, 0.01672594), (1, 0.016728714), (2, 0.916249), (3, 0.016751608), (4, 0.016723039), (5, 0.016821753)]",2
体积小，携带方便，发热量不大，电池待机时间比一般笔记本长，但比广告写的时间要短，4-5个小时还行。,体积小 携带方便 发热量 电池 待机时间 笔记本 广告 时间 小时,pos,"[(0, 0.016781846), (1, 0.016752925), (2, 0.9160935), (3, 0.016802885), (4, 0.016739542), (5, 0.016829247)]",2
电池不错！可用5-6个小时，键盘还不错！价格还行吧，比61要低很多！远程组网时测试比较方面！,电池 不错 可用 小时 键盘 不错 价格 还行 远程 组网 测试,pos,"[(0, 0.013968385), (1, 0.013952218), (2, 0.93013406), (3, 0.014012474), (4, 0.013937508), (5, 0.0139953215)]",2
比较小巧，白色的也漂亮。关掉蓝牙和摄像头，电池可以用5个小时不到。,小巧 白色 漂亮 关掉 蓝牙 摄像头 电池 小时 不到,pos,"[(0, 0.016727054), (1, 0.016736997), (2, 0.9160371), (3, 0.016881172), (4, 0.016792264), (5, 0.016825438)]",2
我一直用，觉得比快很多，很喜欢；键盘比我以前的三星小一点点，轴很结实，屏幕感觉挺舒服，但是厌恶输入法,比快 喜欢 键盘 三星 一点点 结实 屏幕 感觉 挺舒服 厌恶 输入法,pos,"[(0, 0.013988046), (1, 0.0139787095), (2, 0.014149348), (3, 0.013968881), (4, 0.014080953), (5, 0.929834)]",5
本职工作用起来还是不错的，待机时间很满意，系统用起来还有点新鲜，做工和预期的一样好,本职工作 不错 待机时间 满意 系统 新鲜 做工 预期,pos,"[(0, 0.018639846), (1, 0.1724014), (2, 0.75309616), (3, 0.018602936), (4, 0.018593961), (5, 0.018665718)]",2
待机时间长，屏幕调到最暗，待机时间可以到9个小时。买给老婆的，女孩子用白色的小本本很合适，白色确实比黑色好看点，巧克力键盘也不错。电源适配器够小。,待机时间 屏幕 调到 最暗 待机时间 小时 老婆 女孩子 白色 本本 合适 白色 确实 黑色 好看 巧克力 键盘 不错 电源适配器,pos,"[(2, 0.95793897)]",2
